head,agg,method,k,accuracy,ci_low,ci_high,diff_vs_majority,diff_vs_majority_ci_low,diff_vs_majority_ci_high,p_vs_majority,p_holm_vs_majority,n_questions
attention,mean,argmax,4,0.35109931230545044,0.3316527895629406,0.3705089032649994,-0.02319939434528351,-0.03188115889206529,-0.014973464421927929,0.0009995002498750624,0.035982008995502246,1319
attention,mean,argmax,8,0.35318422317504883,0.3320697836577892,0.37415274456143377,-0.07808946073055267,-0.09215409439057112,-0.06428923159837724,0.0009995002498750624,0.035982008995502246,1319
attention,mean,argmax,16,0.36087945103645325,0.3358604907989502,0.38817286491394043,-0.10462471842765808,-0.12888552248477936,-0.08110310938209306,0.0009995002498750624,0.035982008995502246,1319
attention,mean,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,mean,weighted_vote,2,0.33294162154197693,0.31504736468195915,0.35136564895510675,0.024033358320593834,0.018535821139812468,0.029681578278541565,0.0009995002498750624,0.035982008995502246,1319
attention,mean,weighted_vote,4,0.3866565525531769,0.3650435872375965,0.40799844413995745,0.012357845902442932,0.0065570505685172975,0.018006065860390663,0.0009995002498750624,0.035982008995502246,1319
attention,mean,weighted_vote,8,0.43339651823043823,0.4088684432208538,0.4574715845286846,0.002122820122167468,-0.004474033671431244,0.008605950116179878,0.5067466266866567,1.0,1319
attention,mean,weighted_vote,16,0.4662623107433319,0.43821075558662415,0.4943138659000397,0.0007581501267850399,-0.013646702282130718,0.01440485194325447,0.9705147426286856,1.0,1319
attention,last,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,last,argmax,2,0.33351022005081177,0.3155799798667431,0.35201098397374153,0.024601968005299568,0.019257014617323875,0.03017626991495489,0.0009995002498750624,0.035982008995502246,1319
attention,last,argmax,4,0.3460955321788788,0.3266101241111755,0.3655449263751507,-0.02820318564772606,-0.036771228164434434,-0.019938400434330112,0.0009995002498750624,0.035982008995502246,1319
attention,last,argmax,8,0.3534117043018341,0.3325616180896759,0.37520944476127627,-0.07786201685667038,-0.0917011022567749,-0.06345621347427369,0.0009995002498750624,0.035982008995502246,1319
attention,last,argmax,16,0.35784685611724854,0.3320697546005249,0.3844010531902312,-0.10765731334686279,-0.13267627358436584,-0.08339650928974152,0.0009995002498750624,0.035982008995502246,1319
attention,last,weighted_vote,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
attention,last,weighted_vote,2,0.33351022005081177,0.3155799798667431,0.35201098397374153,0.024601968005299568,0.019257014617323875,0.03017626991495489,0.0009995002498750624,0.035982008995502246,1319
attention,last,weighted_vote,4,0.3828658163547516,0.36148406341671946,0.4046275146305561,0.00856709573417902,0.002954888972453773,0.014329984365031119,0.005997001499250375,0.07796101949025487,1319
attention,last,weighted_vote,8,0.43191811442375183,0.4075795836746693,0.45656370446085925,0.0006444277241826057,-0.006559892720542848,0.0077710384503006935,0.8205897051474262,1.0,1319
attention,last,weighted_vote,16,0.4662623107433319,0.4389689266681671,0.4935746781527995,0.0007581501267850399,-0.013646702282130718,0.015163002535700798,0.9405297351324338,1.0,1319
attention_pe,min,argmax,1,0.30773311853408813,0.2901061475276947,0.32589181512594223,0.0,0.0,0.0,1.0,1.0,1319
